account_code,provider,model,limiter_type,source,used_percent,limit_tokens,remaining_tokens,limit_requests,remaining_requests,reset_at,status,raw_json,updated_at
ACC-JX6NDCRVSN4MFKTOPLQXZMNOUI,codex,,usage_fallback,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-vhsvjEWRyfTmDCYJc3r7aR2O\"",\n  \""account_id\"": \""user-vhsvjEWRyfTmDCYJc3r7aR2O\"",\n  \""email\"": \""EMAIL-P47USEQOGMVYZQJHA6BP5ZRR3U\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 458692,\n      \""reset_at\"": 1785902988\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're out o"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785444296
ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,,usage_fallback,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-VJT2sn10bhpPHnLPXnIavWfA\"",\n  \""account_id\"": \""user-VJT2sn10bhpPHnLPXnIavWfA\"",\n  \""email\"": \""EMAIL-PQUONN62DMO7LRZOJDJSOIOOJE\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 475724,\n      \""reset_at\"": 1785920020\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're ou"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785444296
ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,codex,,usage_fallback,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-H1Z2tFnG5OdaYc1MDBzf1Ak4\"",\n  \""account_id\"": \""user-H1Z2tFnG5OdaYc1MDBzf1Ak4\"",\n  \""email\"": \""ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM\"",\n  \""plan_type\"": \""pro\"",\n  \""rate_limit\"": {\n    \""allowed\"": true,\n    \""limit_reached\"": false,\n    \""primary_window\"": {\n      \""used_percent\"": 16,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 475611,\n      \""reset_at\"": 1785919907\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": [\n    {\n      \""limit_name\"": \""GPT-5.3-Codex-Spark\"",\n      \""metered_feature\"": \""codex_bengalfox\"",\n      \""rate_limit\"": {\n        \""allowed\"": true,\n        \""limit_reached\"": false,\n        \""primary_window\"": {\n          \""used_percent\"": 0,\n          \""limit_window_seconds\"": 604800,\n          \""reset_after_seconds\"": 604800,\n          \""reset_at\"": 1786049096\n        },\n        \""secondary_window\"": null\n      }\n    }\n  ],\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""b"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785444296
ACC-HH3MS4CH2YTRUI2AD4F5XY6VTU,codex,,usage_fallback,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-PoNUuPf3RKQ7tk0Y8936PK0j\"",\n  \""account_id\"": \""user-PoNUuPf3RKQ7tk0Y8936PK0j\"",\n  \""email\"": \""EMAIL-2GI4I5UWOXUAMKKL5DDOPV4U7E\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 458772,\n      \""reset_at\"": 1785903068\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're out of"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785444296
ACC-OWBQQZUPFT7GVHF6NPYMAYFFCU,codex,,usage_fallback,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-odWfvzcHFjylGH6tsRYs4LNP\"",\n  \""account_id\"": \""user-odWfvzcHFjylGH6tsRYs4LNP\"",\n  \""email\"": \""EMAIL-FEUVPFOOCAB5L66BR363QELDIA\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 477973,\n      \""reset_at\"": 1785922269\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're out o"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785444296
ACC-JX6NDCRVSN4MFKTOPLQXZMNOUI,codex,,quota_poll_error,quota_poll_error,'-1,'-1,'-1,'-1,'-1,0,error/http_error,"{""body_snippet"":""upstream connect error or disconnect/reset before headers. reset reason: connection termination"",""error"":""http 503: upstream connect error or disconnect/reset before headers. reset reason: connection termination"",""http_status"":503,""sync_reason"":""error/http_error""}",1785437996
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude,,quota_poll_error,quota_poll_error,'-1,'-1,'-1,'-1,'-1,0,error/http_error,"{""body_snippet"":""{\""type\"":\""error\"",\""error\"":{\""type\"":\""authentication_error\"",\""message\"":\""Invalid authentication credentials\"",\""details\"":{\""error_visibility\"":\""user_facing\""}},\""request_id\"":\""REQ-6LBWJMBUT5LANTFLJFFXEMDHJE\""}"",""error"":""http 401: {\""type\"":\""error\"",\""error\"":{\""type\"":\""authentication_error\"",\""message\"":\""Invalid authentication credentials\"",\""details\"":{\""error_visibility\"":\""user_facing\""}},\""request_id\"":\""REQ-6LBWJMBUT5LANTFLJFFXEMDHJE\""}"",""http_status"":401,""sync_reason"":""error/http_error""}",1785432898
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude,,7d_oauth_usage,7d_oauth_usage,13,'-1,'-1,'-1,'-1,1785596400,allowed,"{""limit_dollars"":null,""remaining_dollars"":null,""resets_at"":""2026-08-01T15:00:00.152135+00:00"",""used_dollars"":null,""utilization"":13}",1785432597
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude,,5h_oauth_usage,5h_oauth_usage,100,'-1,'-1,'-1,'-1,1785447599,allowed,"{""oauth_rate_limit_tier"":"""",""plan_type"":"""",""primary"":{""limit_dollars"":null,""remaining_dollars"":null,""resets_at"":""2026-07-30T21:39:59.152109+00:00"",""used_dollars"":null,""utilization"":100},""secondary"":{""limit_dollars"":null,""remaining_dollars"":null,""resets_at"":""2026-08-01T15:00:00.152135+00:00"",""used_dollars"":null,""utilization"":13}}",1785432597
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude,,unified,unified,'-1,'-1,'-1,'-1,'-1,1785447600,allowed,"{""anthropic-ratelimit-unified-5h-reset"":""1785447600"",""anthropic-ratelimit-unified-5h-status"":""allowed"",""TOKEN-LF4GSM3WO6FKLY3FCTUYH2QBPE"":""0.13"",""anthropic-ratelimit-unified-7d-reset"":""1785596400"",""anthropic-ratelimit-unified-7d-status"":""allowed"",""TOKEN-VISV5HJHDBBWKSNIVJQDAS3BYY"":""0.06"",""TOKEN-PBBZFMYG67VRS57D3MXUE3ZHPQ"":""0.5"",""TOKEN-PQCCMIMTGK5KHGBBV67SQR5B2U"":""org_level_disabled"",""TOKEN-BPYAII5N7M33JKQUZARMTGGPHM"":""rejected"",""TOKEN-6OLLGTNDSE4Q6AMD5PYVRDMTKY"":""five_hour"",""anthropic-ratelimit-unified-reset"":""1785447600"",""anthropic-ratelimit-unified-status"":""allowed""}",1785430841
ACC-V5HUEWZFSBH45DWE5GJJ5SM4LA,codex,,quota_poll_error,quota_poll_error,'-1,'-1,'-1,'-1,'-1,0,error/http_error,"{""body_snippet"":""{\""detail\"":\""Unable to check usage. Please try again later.\""}"",""error"":""http 503: {\""detail\"":\""Unable to check usage. Please try again later.\""}"",""http_status"":503,""sync_reason"":""error/http_error""}",1785414897
